pctchg,month,ifim_site,hab_chg,custom_taxachg,custom_tag,custom_huc_unit,custom_huc,huc8_taxachg,huc8_tag,huc8
10,MAF,Dunlap,-1.317052407,-1.911782305,bpj_q50,huc10,208020103,-0.568532814,bpj-rcc,2080201
10,MAF,Plains Mill,0.306282252,-1.404889975,bpj-rcc,huc8,2070006,-1.404889975,bpj-rcc,2070006
10,MAF,North Anna Piedmont,-1.361623164,-1.250615731,bpj_530_icthy,huc10,208010608,-0.645851094,bpj-rcc,2080106
10,MAF,North Anna Fall Zone,-4.027877042,-1.240493689,bpj_530_icthy,huc10,208010608,-0.643140976,bpj-rcc,2080106
10,MAF,Craig,1.186810214,-1.171075269,bpj_530_icthy,huc10,208020112,-0.54630591,bpj-rcc,2080201
10,Jul,Dunlap,-4.121582195,-1.778742378,bpj_q50,huc10,208020103,-0.526517228,bpj-rcc,2080201
10,Jul,Plains Mill,-4.89970362,-1.346536273,bpj-rcc,huc8,2070006,-1.346536273,bpj-rcc,2070006
10,Jul,North Anna Piedmont,-1.474352683,-1.124004462,bpj_530_icthy,huc10,208010608,-0.673143064,bpj-rcc,2080106
10,Jul,North Anna Fall Zone,-4.226649249,-1.115821465,bpj_530_icthy,huc10,208010608,-0.670199583,bpj-rcc,2080106
10,Jul,Craig,-0.706915522,-1.10795968,bpj_530_icthy,huc10,208020112,-0.507398911,bpj-rcc,2080201
10,Aug,Dunlap,-5.232164248,-1.767494655,bpj_q50,huc10,208020103,-0.465892635,bpj-rcc,2080201
10,Aug,Plains Mill,-4.963407324,-1.249261615,bpj-rcc,huc8,2070006,-1.249261615,bpj-rcc,2070006
10,Aug,North Anna Piedmont,-1.563278009,-1.04582391,bpj_530_icthy,huc10,208010608,-0.645809379,bpj-rcc,2080106
10,Aug,North Anna Fall Zone,-5.228785371,-1.038736078,bpj_530_icthy,huc10,208010608,-0.64309961,bpj-rcc,2080106
10,Aug,Craig,-0.948769848,-1.056413747,bpj_530_icthy,huc10,208020112,-0.450860671,bpj-rcc,2080201
10,Sep,Dunlap,-5.647738227,-1.852441728,bpj_q50,huc10,208020103,-0.403779031,bpj-rcc,2080201
10,Sep,Plains Mill,-5.175744041,-1.184232549,bpj-rcc,huc8,2070006,-1.184232549,bpj-rcc,2070006
10,Sep,North Anna Piedmont,-1.590744577,-1.039484921,bpj_530_icthy,huc10,208010608,-0.594043934,bpj-rcc,2080106
10,Sep,North Anna Fall Zone,-6.272498704,-1.032482463,bpj_530_icthy,huc10,208010608,-0.591750392,bpj-rcc,2080106
10,Sep,Craig,-1.204783714,-1.013908426,bpj_530_icthy,huc10,208020112,-0.392439274,bpj-rcc,2080201
20,MAF,Dunlap,-2.743721725,-4.048973093,bpj_q50,huc10,208020103,-1.204098427,bpj-rcc,2080201
20,MAF,Plains Mill,0.385008638,-2.975423348,bpj-rcc,huc8,2070006,-2.975423348,bpj-rcc,2070006
20,MAF,North Anna Piedmont,-2.89613022,-2.648685172,bpj_530_icthy,huc10,208010608,-1.36785119,bpj-rcc,2080106
20,MAF,North Anna Fall Zone,-8.523436885,-2.62724765,bpj_530_icthy,huc10,208010608,-1.362111417,bpj-rcc,2080106
20,MAF,Craig,2.680337782,-2.480226039,bpj_530_icthy,huc10,208020112,-1.157023959,bpj-rcc,2080201
20,Jul,Dunlap,-9.282316959,-3.76720718,bpj_q50,huc10,208020103,-1.115113411,bpj-rcc,2080201
20,Jul,Plains Mill,-10.355184,-2.851835756,bpj-rcc,huc8,2070006,-2.851835756,bpj-rcc,2070006
20,Jul,North Anna Piedmont,-3.270278457,-2.380534547,bpj_530_icthy,huc10,208010608,-1.425652986,bpj-rcc,2080106
20,Jul,North Anna Fall Zone,-10.03923142,-2.363203737,bpj_530_icthy,huc10,208010608,-1.419418974,bpj-rcc,2080106
20,Jul,Craig,-1.426000191,-2.346553224,bpj_530_icthy,huc10,208020112,-1.074622634,bpj-rcc,2080201
20,Aug,Dunlap,-11.08182485,-3.743385574,bpj_q50,huc10,208020103,-0.986716291,bpj-rcc,2080201
20,Aug,Plains Mill,-10.41290033,-2.645817283,bpj-rcc,huc8,2070006,-2.645817283,bpj-rcc,2070006
20,Aug,North Anna Piedmont,-3.25857134,-2.214955574,bpj_530_icthy,huc10,208010608,-1.367762842,bpj-rcc,2080106
20,Aug,North Anna Fall Zone,-12.20824181,-2.199944218,bpj_530_icthy,huc10,208010608,-1.362023809,bpj-rcc,2080106
20,Aug,Craig,-1.839494259,-2.23738384,bpj_530_icthy,huc10,208020112,-0.95488002,bpj-rcc,2080201
20,Sep,Dunlap,-11.7579726,-3.923295394,bpj_q50,huc10,208020103,-0.855165584,bpj-rcc,2080201
20,Sep,Plains Mill,-10.85135774,-2.508091907,bpj-rcc,huc8,2070006,-2.508091907,bpj-rcc,2070006
20,Sep,North Anna Piedmont,-3.332826233,-2.201530198,bpj_530_icthy,huc10,208010608,-1.258128553,bpj-rcc,2080106
20,Sep,North Anna Fall Zone,-12.78528285,-2.186699656,bpj_530_icthy,huc10,208010608,-1.253271049,bpj-rcc,2080106
20,Sep,Craig,-3.550524647,-2.147361613,bpj_530_icthy,huc10,208020112,-0.831149057,bpj-rcc,2080201
30,MAF,Dunlap,-4.068110502,-6.471920171,bpj_q50,huc10,208020103,-1.924643291,bpj-rcc,2080201
30,MAF,Plains Mill,0.447619674,-4.755947234,bpj-rcc,huc8,2070006,-4.755947234,bpj-rcc,2070006
30,MAF,North Anna Piedmont,-4.89634779,-4.233685578,bpj_530_icthy,huc10,208010608,-2.186387389,bpj-rcc,2080106
30,MAF,North Anna Fall Zone,-14.45988547,-4.199419624,bpj_530_icthy,huc10,208010608,-2.177212877,bpj-rcc,2080106
30,MAF,Craig,4.439926417,-3.964418771,bpj_530_icthy,huc10,208020112,-1.849398977,bpj-rcc,2080201
30,Jul,Dunlap,-15.39031208,-6.021542643,bpj_q50,huc10,208020103,-1.782408728,bpj-rcc,2080201
30,Jul,Plains Mill,-17.49080868,-4.558403559,bpj-rcc,huc8,2070006,-4.558403559,bpj-rcc,2070006
30,Jul,North Anna Piedmont,-5.233286332,-3.805070866,bpj_530_icthy,huc10,208010608,-2.278778373,bpj-rcc,2080106
30,Jul,North Anna Fall Zone,-17.43499813,-3.777369121,bpj_530_icthy,huc10,208010608,-2.268813864,bpj-rcc,2080106
30,Jul,Craig,-2.54403408,-3.750754771,bpj_530_icthy,huc10,208020112,-1.717687854,bpj-rcc,2080201
30,Aug,Dunlap,-17.49225898,-5.983465943,bpj_q50,huc10,208020103,-1.577177452,bpj-rcc,2080201
30,Aug,Plains Mill,-16.54491587,-4.229101516,bpj-rcc,huc8,2070006,-4.229101516,bpj-rcc,2070006
30,Aug,North Anna Piedmont,-5.243474832,-3.540407735,bpj_530_icthy,huc10,208010608,-2.186246172,bpj-rcc,2080106
30,Aug,North Anna Fall Zone,-19.18769825,-3.516413431,bpj_530_icthy,huc10,208010608,-2.177072843,bpj-rcc,2080106
30,Aug,Craig,-3.476461972,-3.576257306,bpj_530_icthy,huc10,208020112,-1.52629003,bpj-rcc,2080201
30,Sep,Dunlap,-18.54583171,-6.271035647,bpj_q50,huc10,208020103,-1.366905452,bpj-rcc,2080201
30,Sep,Plains Mill,-17.06830077,-4.008959861,bpj-rcc,huc8,2070006,-4.008959861,bpj-rcc,2070006
30,Sep,North Anna Piedmont,-5.300570406,-3.518948476,bpj_530_icthy,huc10,208010608,-2.0110056,bpj-rcc,2080106
30,Sep,North Anna Fall Zone,-19.87317281,-3.495243187,bpj_530_icthy,huc10,208010608,-2.003241314,bpj-rcc,2080106
30,Sep,Craig,-6.506492437,-3.432364854,bpj_530_icthy,huc10,208020112,-1.328517188,bpj-rcc,2080201
40,MAF,Dunlap,-5.870789932,-9.269007298,bpj_q50,huc10,208020103,-2.756451291,bpj-rcc,2080201
40,MAF,Plains Mill,1.475798251,-6.811411213,bpj-rcc,huc8,2070006,-6.811411213,bpj-rcc,2070006
40,MAF,North Anna Piedmont,-7.046204684,-6.063434265,bpj_530_icthy,huc10,208010608,-3.131318083,bpj-rcc,2080106
40,MAF,North Anna Fall Zone,-22.54469192,-6.014358972,bpj_530_icthy,huc10,208010608,-3.118178456,bpj-rcc,2080106
40,MAF,Craig,2.878253939,-5.677793538,bpj_530_icthy,huc10,208020112,-2.648687277,bpj-rcc,2080201
40,Jul,Dunlap,-21.7812069,-8.623981944,bpj_q50,huc10,208020103,-2.552744636,bpj-rcc,2080201
40,Jul,Plains Mill,-25.41220987,-6.528491504,bpj-rcc,huc8,2070006,-6.528491504,bpj-rcc,2070006
40,Jul,North Anna Piedmont,-7.453286381,-5.449577358,bpj_530_icthy,huc10,208010608,-3.263639355,bpj-rcc,2080106
40,Jul,North Anna Fall Zone,-24.83076483,-5.409903247,bpj_530_icthy,huc10,208010608,-3.249368303,bpj-rcc,2080106
40,Jul,Craig,-3.702618293,-5.371786491,bpj_530_icthy,huc10,208020112,-2.46005217,bpj-rcc,2080201
40,Aug,Dunlap,-24.39507274,-8.569448946,bpj_q50,huc10,208020103,-2.258814838,bpj-rcc,2080201
40,Aug,Plains Mill,-24.27789339,-6.056869025,bpj-rcc,huc8,2070006,-6.056869025,bpj-rcc,2070006
40,Aug,North Anna Piedmont,-12.09947087,-5.070529961,bpj_530_icthy,huc10,208010608,-3.131115834,bpj-rcc,2080106
40,Aug,North Anna Fall Zone,-27.24036475,-5.036165603,bpj_530_icthy,huc10,208010608,-3.1179779,bpj-rcc,2080106
40,Aug,Craig,-7.245451096,-5.121873291,bpj_530_icthy,huc10,208020112,-2.185934476,bpj-rcc,2080201
40,Sep,Dunlap,-25.89738119,-8.981302866,bpj_q50,huc10,208020103,-1.957665774,bpj-rcc,2080201
40,Sep,Plains Mill,-24.58859842,-5.741584757,bpj-rcc,huc8,2070006,-5.741584757,bpj-rcc,2070006
40,Sep,North Anna Piedmont,-13.99767309,-5.039796265,bpj_530_icthy,huc10,208010608,-2.880138365,bpj-rcc,2080106
40,Sep,North Anna Fall Zone,-28.69116961,-5.005845831,bpj_530_icthy,huc10,208010608,-2.869018447,bpj-rcc,2080106
40,Sep,Craig,-11.30981441,-4.915792228,bpj_530_icthy,huc10,208020112,-1.902686557,bpj-rcc,2080201
50,MAF,Dunlap,-11.26825673,-12.5772592,bpj_q50,huc10,208020103,-3.740271341,bpj-rcc,2080201
50,MAF,Plains Mill,-0.868503515,-9.242509104,bpj-rcc,huc8,2070006,-9.242509104,bpj-rcc,2070006
50,MAF,North Anna Piedmont,-9.960557658,-8.227567627,bpj_530_icthy,huc10,208010608,-4.248933882,bpj-rcc,2080106
50,MAF,North Anna Fall Zone,-30.62949837,-8.160976604,bpj_530_icthy,huc10,208010608,-4.231104519,bpj-rcc,2080106
50,MAF,Craig,-2.994563818,-7.704285767,bpj_530_icthy,huc10,208020112,-3.594044686,bpj-rcc,2080201
50,Jul,Dunlap,-29.2212363,-11.70201433,bpj_q50,huc10,208020103,-3.463858634,bpj-rcc,2080201
50,Jul,Plains Mill,-33.97237501,-8.85861098,bpj-rcc,huc8,2070006,-8.85861098,bpj-rcc,2070006
50,Jul,North Anna Piedmont,-17.88067273,-7.394615707,bpj_530_icthy,huc10,208010608,-4.42848266,bpj-rcc,2080106
50,Jul,North Anna Fall Zone,-34.99412728,-7.340781293,bpj_530_icthy,huc10,208010608,-4.40911805,bpj-rcc,2080106
50,Jul,Craig,-6.62715303,-7.289060078,bpj_530_icthy,huc10,208020112,-3.338082794,bpj-rcc,2080201
50,Aug,Dunlap,-32.46221763,-11.62801766,bpj_q50,huc10,208020103,-3.065020749,bpj-rcc,2080201
50,Aug,Plains Mill,-32.57919674,-8.218659152,bpj-rcc,huc8,2070006,-8.218659152,bpj-rcc,2070006
50,Aug,North Anna Piedmont,-22.27256717,-6.880280438,bpj_530_icthy,huc10,208010608,-4.248659447,bpj-rcc,2080106
50,Aug,North Anna Fall Zone,-37.80660218,-6.83365091,bpj_530_icthy,huc10,208010608,-4.230832382,bpj-rcc,2080106
50,Aug,Craig,-12.16362501,-6.949948996,bpj_530_icthy,huc10,208020112,-2.96612826,bpj-rcc,2080201
50,Sep,Dunlap,-33.25219917,-12.18686861,bpj_q50,huc10,208020103,-2.656386932,bpj-rcc,2080201
50,Sep,Plains Mill,-32.92765832,-7.790845058,bpj-rcc,huc8,2070006,-7.790845058,bpj-rcc,2070006
50,Sep,North Anna Piedmont,-23.82307909,-6.838577411,bpj_530_icthy,huc10,208010608,-3.908104242,bpj-rcc,2080106
50,Sep,North Anna Fall Zone,-38.9886377,-6.792509542,bpj_530_icthy,huc10,208010608,-3.893015454,bpj-rcc,2080106
50,Sep,Craig,-18.62911348,-6.670314418,bpj_530_icthy,huc10,208020112,-2.581784784,bpj-rcc,2080201
