huc8,huc8_zero,huc6,target_hydrocode,ghi,da_huc2,huc6_da,huc6_maf
2070001,02070001,020700,nhd_huc8_02070001,408,486,134.9,306.8
2070002,02070002,020700,nhd_huc8_02070002,408,486,134.9,306.8
2070003,02070003,020700,nhd_huc8_02070003,408,486,134.9,306.8
2070004,02070004,020700,nhd_huc8_02070004,408,486,134.9,306.8
2070005,02070005,020700,nhd_huc8_02070005,408,486,134.9,306.8
2070006,02070006,020700,nhd_huc8_02070006,408,486,134.9,306.8
2070007,02070007,020700,nhd_huc8_02070007,408,486,134.9,306.8
2070008,02070008,020700,nhd_huc8_02070008,408,486,134.9,306.8
2070009,02070009,020700,nhd_huc8_02070009,408,486,134.9,306.8
2070010,02070010,020700,nhd_huc8_02070010,408,486,134.9,306.8
2070011,02070011,020700,nhd_huc8_02070011,408,486,134.9,306.8
2080101,02080101,020801,nhd_huc8_02080101,408,486,342.9,348.4
2080102,02080102,020801,nhd_huc8_02080102,408,486,342.9,348.4
2080103,02080103,020801,nhd_huc8_02080103,408,486,342.9,348.4
2080104,02080104,020801,nhd_huc8_02080104,408,486,342.9,348.4
2080105,02080105,020801,nhd_huc8_02080105,408,486,342.9,348.4
2080106,02080106,020801,nhd_huc8_02080106,408,486,342.9,348.4
2080107,02080107,020801,nhd_huc8_02080107,408,486,342.9,348.4
2080108,02080108,020801,nhd_huc8_02080108,408,486,342.9,348.4
2080109,02080109,020801,nhd_huc8_02080109,408,486,342.9,348.4
2080110,02080110,020801,nhd_huc8_02080110,408,486,342.9,348.4
2080111,02080111,020801,nhd_huc8_02080111,408,486,342.9,348.4
2080201,02080201,020802,nhd_huc8_02080201,408,486,386.6,389.3
2080202,02080202,020802,nhd_huc8_02080202,408,486,386.6,389.3
2080203,02080203,020802,nhd_huc8_02080203,408,486,386.6,389.3
2080204,02080204,020802,nhd_huc8_02080204,408,486,386.6,389.3
2080205,02080205,020802,nhd_huc8_02080205,408,486,386.6,389.3
2080206,02080206,020802,nhd_huc8_02080206,408,486,386.6,389.3
2080207,02080207,020802,nhd_huc8_02080207,408,486,386.6,389.3
2080208,02080208,020802,nhd_huc8_02080208,408,486,386.6,389.3
3010101,03010101,030101,nhd_huc8_03010101,408,486,342,384.7
3010102,03010102,030101,nhd_huc8_03010102,408,486,342,384.7
3010103,03010103,030101,nhd_huc8_03010103,408,486,342,384.7
3010104,03010104,030101,nhd_huc8_03010104,408,486,342,384.7
3010105,03010105,030101,nhd_huc8_03010105,408,486,342,384.7
3010106,03010106,030101,nhd_huc8_03010106,408,486,342,384.7
3010107,03010107,030101,nhd_huc8_03010107,408,486,342,384.7
3010201,03010201,030102,nhd_huc8_03010201,408,486,485.9,408
3010202,03010202,030102,nhd_huc8_03010202,408,486,485.9,408
3010203,03010203,030102,nhd_huc8_03010203,408,486,485.9,408
3010204,03010204,030102,nhd_huc8_03010204,408,486,485.9,408
3010205,03010205,030102,nhd_huc8_03010205,408,486,485.9,408
5050001,05050001,050500,nhd_huc8_05050001,408,486,312,348.3
5050002,05050002,050500,nhd_huc8_05050002,408,486,312,348.3
5050003,05050003,050500,nhd_huc8_05050003,408,486,312,348.3
5050004,05050004,050500,nhd_huc8_05050004,408,486,312,348.3
5050005,05050005,050500,nhd_huc8_05050005,408,486,312,348.3
5050006,05050006,050500,nhd_huc8_05050006,408,486,312,348.3
5050007,05050007,050500,nhd_huc8_05050007,408,486,312,348.3
5050008,05050008,050500,nhd_huc8_05050008,408,486,312,348.3
5050009,05050009,050500,nhd_huc8_05050009,408,486,312,348.3
5070201,05070201,050702,nhd_huc8_05070201,408,486,312,348.3
5070202,05070202,050702,nhd_huc8_05070202,408,486,312,348.3
5070203,05070203,050702,nhd_huc8_05070203,408,486,312,348.3
5070204,05070204,050702,nhd_huc8_05070204,408,486,312,348.3
5130101,05130101,051301,nhd_huc8_05130101,896,796,390,896
5130102,05130102,051301,nhd_huc8_05130102,896,796,390,896
5130103,05130103,051301,nhd_huc8_05130103,896,796,390,896
5130104,05130104,051301,nhd_huc8_05130104,896,796,390,896
5130105,05130105,051301,nhd_huc8_05130105,896,796,390,896
5130106,05130106,051301,nhd_huc8_05130106,896,796,390,896
5130107,05130107,051301,nhd_huc8_05130107,896,796,390,896
5130108,05130108,051301,nhd_huc8_05130108,896,796,390,896
6010101,06010101,060101,nhd_huc8_06010101,896,796,715,775.9
6010102,06010102,060101,nhd_huc8_06010102,896,796,715,775.9
6010103,06010103,060101,nhd_huc8_06010103,896,796,715,775.9
6010104,06010104,060101,nhd_huc8_06010104,896,796,715,775.9
6010105,06010105,060101,nhd_huc8_06010105,896,796,715,775.9
6010106,06010106,060101,nhd_huc8_06010106,896,796,715,775.9
6010107,06010107,060101,nhd_huc8_06010107,896,796,715,775.9
6010108,06010108,060101,nhd_huc8_06010108,896,796,715,775.9
6010201,06010201,060102,nhd_huc8_06010201,896,796,796,577
6010202,06010202,060102,nhd_huc8_06010202,896,796,796,577
6010203,06010203,060102,nhd_huc8_06010203,896,796,796,577
6010204,06010204,060102,nhd_huc8_06010204,896,796,796,577
6010205,06010205,060102,nhd_huc8_06010205,896,796,796,577
6010206,06010206,060102,nhd_huc8_06010206,896,796,796,577
6010207,06010207,060102,nhd_huc8_06010207,896,796,796,577
6010208,06010208,060102,nhd_huc8_06010208,896,796,796,577
6020001,06020001,060200,nhd_huc8_06020001,896,796,796,577
6020002,06020002,060200,nhd_huc8_06020002,896,796,796,577
6020003,06020003,060200,nhd_huc8_06020003,896,796,796,577
6020004,06020004,060200,nhd_huc8_06020004,896,796,796,577
6030001,06030001,060300,nhd_huc8_06030001,896,796,796,577
6030002,06030002,060300,nhd_huc8_06030002,896,796,796,577
6030003,06030003,060300,nhd_huc8_06030003,896,796,796,577
6030004,06030004,060300,nhd_huc8_06030004,896,796,796,577
6030005,06030005,060300,nhd_huc8_06030005,896,796,796,577
6030006,06030006,060300,nhd_huc8_06030006,896,796,796,577
6040001,06040001,060400,nhd_huc8_06040001,896,796,64.5,97.1
6040002,06040002,060400,nhd_huc8_06040002,896,796,64.5,97.1
6040003,06040003,060400,nhd_huc8_06040003,896,796,64.5,97.1
6040004,06040004,060400,nhd_huc8_06040004,896,796,64.5,97.1
6040005,06040005,060400,nhd_huc8_06040005,896,796,64.5,97.1
6040006,06040006,060400,nhd_huc8_06040006,896,796,64.5,97.1